Green Day, ‘Basket Case’
Elton John, ‘Rocket Man’
Led Zeppelin, ‘Kashmir’
Fats Domino, ‘Blueberry Hill’
James Taylor, ‘Fire and Rain’
Outkast, ‘Ms. Jackson’
The Rolling Stones, ‘Jumpin’ Jack Flash’
The Clash, ‘London Calling’
George Jones, ‘He Stopped Loving Her Today’
Rod Stewart, ‘Maggie May’
Bob Marley and the Wailers, ‘No Woman No Cry’
Madonna, ‘Vogue’
Blondie, ‘Heart of Glass’
Ariana Grande, ‘Thank U, Next’
Otis Redding, ‘Try a Little Tenderness’
The Beatles, ‘She Loves You’
Tina Turner, ‘What’s Love Got to Do With It’
Journey, ‘Don’t Stop Believin’’
Eric B. and Rakim, ‘Paid in Full’
Ben E. King, ‘Stand by Me’
Martha and the Vandellas, ‘Dancing in the Street’
Drake feat. Majid Jordan, ‘Hold On, We’re Going Home’
Led Zeppelin, ‘Whole Lotta Love’
TLC, ‘Waterfalls’
George Michael, ‘Freedom! ’90’
Sex Pistols, ‘Anarchy in the U.K.’
Buddy Holly, ‘That’ll Be the Day’
Talking Heads, ‘This Must Be the Place (Naive Melody)’
The Impressions, ‘People Get Ready’
The Beatles, ‘Let It Be’
X-Ray Spex, ‘Oh Bondage! Up Yours!’
Marvin Gaye, ‘I Heard It Through the Grapevine’
Radiohead, ‘Creep’
Aretha Franklin, ‘I Say a Little Prayer’
Rob Base and DJ E-Z Rock, ‘It Takes Two’
Etta James, ‘At Last’
Britney Spears, ‘Toxic’
Stevie Wonder, ‘Higher Ground’
R.E.M., ‘Losing My Religion’
Bruce Springsteen, ‘Thunder Road’
The Beatles, ‘Something’
Sly and the Family Stone, ‘Everyday People’
The Cure, ‘Just Like Heaven’
Wu-Tang Clan, ‘C.R.E.A.M.’
The Rolling Stones, ‘Sympathy for the Devil’
David Bowie, ‘Life on Mars?’
The Jackson 5, ‘I Want You Back’
Alanis Morissette, ‘You Oughta Know’
Chuck Berry, ‘Maybelline’
Yeah Yeah Yeahs, ‘Maps’
Bob Dylan, ‘Blowin’ in the Wind’
Bee Gees, ‘Stayin’ Alive’
The Beatles, ‘In My Life’
Patti Smith, ‘Gloria’
Jay-Z, ’99 Problems’
Oasis, ‘Wonderwall’
Whitney Houston, ‘I Will Always Love You’
Kelly Clarkson, ‘Since U Been Gone’
Little Richard, ‘Good Golly, Miss Molly’
UGK feat. Outkast, ‘Int’l Players Anthem (I Choose You)’
Aretha Franklin, ‘(You Make Me Feel Like) A Natural Woman’
The Beatles, ‘Hey Jude’
Guns N’ Roses, ‘Sweet Child O’ Mine’
LCD Soundsystem, ‘All My Friends’
The Rolling Stones, ‘Tumbling Dice’
Prince, ‘Kiss’
Al Green, ‘Let’s Stay Together’
Bob Dylan, ‘Desolation Row’
Adele, ‘Rolling in the Deep’
The Velvet Underground, ‘I’m Waiting for the Man’
Ray Charles, ‘What’d I Say’
Amy Winehouse, ‘Back to Black’
The Four Tops, ‘Reach Out (I’ll Be There)’
The Modern Lovers, ‘Roadrunner’
Johnny Cash, ‘I Walk the Line’
Pulp, ‘Common People’
Leonard Cohen, ‘Hallelujah’
Beyoncé, ‘Formation’
The Beatles, ‘Yesterday’
Tracy Chapman, ‘Fast Car’
Elvis Presley, ‘Suspicious Minds’
Taylor Swift, ‘All Too Well’
Chic, ‘Good Times’
Bob Dylan, ‘Tangled Up in Blue’
Simon and Garfunkel, ‘Bridge Over Troubled Water’
Earth, Wind, and Fire, ‘September’
Ramones, ‘Blitzkrieg Bop’
Dolly Parton, ‘Jolene’
U2, ‘One’
Led Zeppelin, ‘Stairway to Heaven’
Kate Bush, ‘Running Up That Hill’
Grandmaster Flash and the Furious Five, ‘The Message’
The Band, ‘The Weight’
Sly and the Family Stone, ‘Family Affair’
Missy Elliott, ‘Work It’
Madonna, ‘Like a Prayer’
Smokey Robinson and the Miracles, ‘The Tracks of My Tears’
The Beach Boys, ‘Good Vibrations’
Donna Summer, ‘I Feel Love’
Dionne Warwick, ‘Walk on By’
Daddy Yankee, ‘Gasolina’
Lauryn Hill, ‘Doo Wop (That Thing)’
Radiohead, ‘Idioteque’
Elton John, ‘Tiny Dancer’
M.I.A., ‘Paper Planes’
Kendrick Lamar, ‘Alright’
Michael Jackson, ‘Billie Jean’
The Temptations, ‘My Girl’
Bob Marley and the Wailers, ‘Redemption Song’
Joy Division, ‘Love Will Tear Us Apart’
The Jimi Hendrix Experience, ‘All Along the Watchtower’
Outkast, ‘B.O.B.’
Otis Redding, ‘(Sittin’ On) the Dock of the Bay’
Prince and the Revolution, ‘When Doves Cry’
The White Stripes, ‘Seven Nation Army’
Little Richard, ‘Tutti-Frutti’
James Brown, ‘Papa’s Got a Brand New Bag’
Chuck Berry, ‘Johnny B. Goode’
Notorious B.I.G., ‘Juicy’
The Rolling Stones, ‘(I Can’t Get No) Satisfaction’
Lorde, ‘Royals’
Dr. Dre feat. Snoop Doggy Dogg, ‘Nuthin’ but a ‘G’ Thang’
Talking Heads, ‘Once in a Lifetime’
Bruce Springsteen, ‘Born to Run’
Joni Mitchell, ‘A Case of You’
Kanye West feat. Pusha T, ‘Runaway’
The Beatles, ‘A Day in the Life’
David Bowie, ‘Heroes’
The Ronettes, ‘Be My Baby’
Billie Holiday, ‘Strange Fruit’
Robyn, ‘Dancing on My Own’
John Lennon, ‘Imagine’
Prince and the Revolution, ‘Purple Rain’
Queen, ‘Bohemian Rhapsody’
Beyoncé feat. Jay-Z, ‘Crazy in Love’
The Beatles, ‘I Want to Hold Your Hand’
The Kinks, ‘Waterloo Sunset’
The Rolling Stones, ‘Gimme Shelter’
Stevie Wonder, ‘Superstition’
The Beach Boys, ‘God Only Knows’
Outkast, ‘Hey Ya!’
Fleetwood Mac, ‘Dreams’
Missy Elliott, ‘Get Ur Freak On’
The Beatles, ‘Strawberry Fields Forever’
Marvin Gaye, ‘What’s Going On’
Nirvana, ‘Smells Like Teen Spirit’
Bob Dylan, ‘Like a Rolling Stone’
